text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,resp.rt,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
green,green,m,congruent,,,,,0,0,0,0,0,26,26,11,,,170.60102581977844,None,m,1,170.60102581977844,None,170.11545300483704,170.66357803344727,,,,,0.36279892921447754,,,171.0440649986267,None,171.0260460615158,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,,,,,0,0,0,0,0,27,27,0,,,173.05604791641235,None,z,1,173.05604791641235,None,172.58044290542603,173.11577105522156,,,,,0.3714768886566162,,,173.51106190681458,None,173.49799015522004,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,0,0,0,0,0,28,28,16,,,175.53746795654297,None,z,1,175.53746795654297,None,175.0589439868927,175.59708905220032,,,,,0.4660971164703369,,,176.08230590820312,None,176.07073714733124,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,0,0,0,0,0,29,29,33,,,178.10790991783142,None,m,1,178.10790991783142,None,177.61434888839722,178.17033696174622,,,,,0.3758399486541748,,,178.55055904388428,None,178.5326631307602,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,green,m,neutral,,,,,0,0,0,0,0,30,30,1,,,180.56526684761047,None,m,1,180.56526684761047,None,180.08721899986267,180.62450790405273,,,,,0.4302079677581787,,,181.06325697898865,None,181.05156424045563,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,0,0,0,0,0,31,31,28,,,183.08985996246338,None,z,1,183.08985996246338,None,182.60845685005188,183.15019488334656,,,,,0.5136721134185791,,,183.68707489967346,None,183.67185618877411,184.1932728290558,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,green,m,congruent,,,,,0,0,0,0,0,32,32,21,,,185.71387100219727,None,m,1,185.71387100219727,None,185.22072291374207,185.77327585220337,,,,,0.3696169853210449,,,186.12979197502136,None,186.1177542448044,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,0,0,0,0,0,33,33,22,,,188.17248582839966,None,z,1,188.17248582839966,None,187.68659687042236,188.2350869178772,,,,,0.3592519760131836,,,188.61546182632446,None,188.5977392435074,189.12080693244934,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,0,0,0,0,0,34,34,30,,,190.6658308506012,None,z,1,190.6658308506012,None,190.17352986335754,190.72823095321655,,,,,0.4419069290161133,,,191.19798183441162,None,191.18020417690278,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,0,0,0,0,0,35,35,4,,,193.21974086761475,None,z,1,193.21974086761475,None,192.7282269001007,193.28218293190002,,,,,0.5119779109954834,,,193.7966878414154,None,193.77881815433503,194.30295491218567,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,green,m,neutral,,,,,1,0,1,0,0,0,0,27,,,198.25580382347107,None,m,1,198.25580382347107,None,197.76097798347473,198.31498885154724,,,,,0.5000178813934326,195.40156292915344,None,198.82807397842407,None,198.80879118442536,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,green,m,incongruent,,,,,1,0,1,0,0,1,1,5,,,200.85715293884277,None,m,1,200.85715293884277,None,200.3722438812256,200.9164638519287,,,,,0.3466019630432129,,,201.28054094314575,None,201.26247622966767,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,1,0,1,0,0,2,2,20,,,203.31389498710632,None,z,1,203.31389498710632,None,202.82157588005066,203.3765139579773,,,,,0.3538210391998291,,,203.75450086593628,None,203.7395072221756,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,1,0,1,0,0,3,3,8,,,205.76800084114075,None,z,1,205.76800084114075,None,205.2872748374939,205.8271508216858,,,,,0.4119069576263428,,,206.24813199043274,None,206.22987821102143,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,1,0,1,0,0,4,4,16,,,208.28772687911987,None,z,1,208.28772687911987,None,207.80862998962402,208.34872102737427,,,,,0.40392112731933594,,,208.76375889778137,None,208.7479861021042,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,1,0,1,0,0,5,5,34,,,210.8156988620758,None,z,1,210.8156988620758,None,210.32292985916138,210.87808990478516,,,,,0.32407712936401367,,,211.21478486061096,None,211.19636824131013,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
red,red,z,congruent,,,,,1,0,1,0,0,6,6,32,,,213.23871684074402,None,z,1,213.23871684074402,None,212.7492389678955,213.29795694351196,,,,,0.3649768829345703,,,213.6529779434204,None,213.64134409427643,214.1653769016266,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
green,red,z,incongruent,,,,,1,0,1,0,0,7,7,4,,,215.70460200309753,None,z,1,215.70460200309753,None,215.20420694351196,215.76718091964722,,,,,0.3631749153137207,,,216.14797186851501,None,216.1298871278763,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXX,red,z,neutral,,,,,1,0,1,0,0,8,8,12,,,218.19304490089417,None,z,1,218.19304490089417,None,217.7004108428955,218.25558400154114,,,,,0.4348001480102539,,,218.6781768798828,None,218.6627981901169,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,red,z,neutral,,,,,1,0,1,0,0,9,9,2,,,220.73115587234497,None,z,1,220.73115587234497,None,220.23850393295288,220.7936429977417,,,,,0.40862512588500977,,,221.21854305267334,None,221.20099904537201,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
XXXXX,red,z,neutral,,,,,1,0,1,0,0,10,10,26,,,223.26664185523987,None,z,1,223.26664185523987,None,222.77509593963623,223.3290238380432,,,,,0.4011800289154053,,,223.75231003761292,None,223.73681309223176,None,,,0002,01,sitting,2021_Aug_09_1511,stroop,2021.2.0,60.08497812515221,
