text,letterColor,correctAnswer,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,word.started,word.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,fixation.started,fixation.stopped,feedback_2.started,feedback_2.stopped,sound_1.started,sound_1.stopped,instrText.started,instrText.stopped,feedback_3.started,feedback_3.stopped,sound_2.started,sound_2.stopped,thanksText.started,thanksText.stopped,participant,session,posture,date,expName,psychopyVersion,frameRate,
XXXXX,green,m,neutral,,,,,0,0,0,0,0,11,11,15,,,138.74202299118042,None,m,1,0.2566039562225342,138.74202299118042,None,138.24849605560303,138.80451893806458,,,,,,,139.05113697052002,None,139.0329015493393,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,green,m,congruent,,,,,0,0,0,0,0,12,12,33,,,141.08417201042175,None,m,1,0.3783259391784668,141.08417201042175,None,140.5913450717926,141.14692902565002,,,,,,,141.5272228717804,None,141.5090875864029,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,,,,,0,0,0,0,0,13,13,22,,,143.55899596214294,None,z,1,0.4155271053314209,143.55899596214294,None,143.06534504890442,143.6214919090271,,,,,,,144.0466878414154,None,144.0290374994278,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,green,m,incongruent,,,,,0,0,0,0,0,14,14,19,,,146.07524704933167,None,m,1,0.3472259044647217,146.07524704933167,None,145.58203601837158,146.1375470161438,,,,,,,146.51736783981323,None,146.5001685857773,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,green,m,neutral,,,,,0,0,0,0,0,15,15,1,,,148.57095384597778,None,m,1,0.347775936126709,148.57095384597778,None,148.07766389846802,148.63349294662476,,,,,,,149.0051748752594,None,148.98744657039643,149.51113390922546,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXX,red,z,neutral,,,,,0,0,0,0,0,16,16,0,,,151.04127192497253,None,z,1,0.2930629253387451,151.04127192497253,None,150.5570788383484,151.10031604766846,,,,,,,151.4130449295044,None,151.4015035867691,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
XXXXX,red,z,neutral,,,,,0,0,0,0,0,17,17,2,,,153.46399307250977,None,z,1,0.4626598358154297,153.46399307250977,None,152.97010898590088,153.5264060497284,,,,,,,153.99625897407532,None,153.978737616539,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,,,,,0,0,0,0,0,18,18,18,,,156.0480580329895,None,z,1,0.3905448913574219,156.0480580329895,None,155.55560493469238,156.11061191558838,,,,,,,156.4883210659027,None,156.47368671894074,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
green,red,z,incongruent,,,,,0,0,0,0,0,19,19,16,,,158.52215790748596,None,z,1,0.5085620880126953,158.52215790748596,None,158.03031706809998,158.58449697494507,,,,,,,159.09787797927856,None,159.08018972873688,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
red,red,z,congruent,,,,,0,0,0,0,0,20,20,34,,,161.14987993240356,None,z,1,0.29674291610717773,161.14987993240356,None,160.65757989883423,161.21228003501892,,,,,,,161.50250697135925,None,161.48478558063508,None,,,0001,01,standing,2021_Aug_09_1506,stroop,2021.2.0,59.92513472891343,
